review,rating,date,bank,source,review_length,word_count,rating_category,sentiment_polarity,year,month,vader_compound,vader_positive,vader_neutral,vader_negative,vader_label,textblob_polarity,textblob_subjectivity,textblob_label,distilbert_positive,distilbert_negative,distilbert_label,distilbert_confidence,ensemble_label,ensemble_confidence
Amazing app! Makes mobile banking incredibly easy and secure. Been using this app for months now.,4,2025-05-06,Commercial Bank of Ethiopia,Google Play,97,16,Good,Positive,2025,5,0.8735,0.434,0.566,0.0,Positive,0.5277777777777778,0.7777777777777778,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Update Cannot transfer money - app shows error messages constantly.,2,2024-08-25,Commercial Bank of Ethiopia,Google Play,67,10,Poor,Negative,2024,8,-0.4019,0.0,0.769,0.231,Negative,0.0,0.3333333333333333,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
The app is okay for simple transactions but lacks advanced features. Overall satisfied with the service.,3,2025-02-01,Commercial Bank of Ethiopia,Google Play,104,16,Average,Neutral,2025,2,0.7684,0.37,0.63,0.0,Positive,0.27999999999999997,0.49142857142857144,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Security concerns - app doesn t feel safe for financial transactions.,1,2023-10-02,Commercial Bank of Ethiopia,Google Play,69,11,Very Poor,Negative,2023,10,0.6486,0.371,0.629,0.0,Positive,0.25,0.25,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
App keeps crashing when I try to make payments. Very frustrating! Hope they continue to improve.,1,2023-12-26,Commercial Bank of Ethiopia,Google Play,96,16,Very Poor,Negative,2023,12,0.4901,0.282,0.576,0.142,Positive,-0.65,1.0,Negative,0.0,0.0,Neutral,0.0,Positive,0.3333333333333333
Mixed experience - some features are good while others need work. Been using this app for months now. Still my opinion.,3,2025-03-12,Commercial Bank of Ethiopia,Google Play,119,21,Average,Neutral,2025,3,0.4404,0.127,0.873,0.0,Positive,0.35,0.42500000000000004,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Update Ordinary mobile banking experience. Nothing outstanding but functional.,3,2023-08-01,Commercial Bank of Ethiopia,Google Play,78,9,Average,Neutral,2023,8,-0.2755,0.0,0.791,0.209,Negative,0.125,0.6875,Positive,0.0,0.0,Neutral,0.0,Negative,0.3333333333333333
Very convenient for paying bills and checking account balance anytime. Hope they continue to improve.,5,2024-11-28,Commercial Bank of Ethiopia,Google Play,101,15,Excellent,Positive,2024,11,0.7003,0.309,0.691,0.0,Positive,0.2,0.3,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
App works fine but could use some improvements in the user interface. Update Still having the same experience.,3,2025-02-22,Commercial Bank of Ethiopia,Google Play,110,18,Average,Neutral,2025,2,0.5187,0.214,0.786,0.0,Positive,0.20833333333333334,0.3125,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Regular banking app - works fine for checking balance and simple transfers. Hope they continue to improve.,3,2024-02-08,Commercial Bank of Ethiopia,Google Play,106,17,Average,Neutral,2024,2,0.765,0.352,0.648,0.0,Positive,0.1388888888888889,0.31135531135531136,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Very convenient for paying bills and checking account balance anytime. Overall satisfied with the service.,4,2024-06-30,Commercial Bank of Ethiopia,Google Play,106,15,Good,Positive,2024,6,0.4215,0.167,0.833,0.0,Positive,0.2333333333333333,0.43333333333333335,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"The app frequently logs me out during transactions. Needs major improvements. Comparing to other banks, this is my experience.",1,2024-12-17,Commercial Bank of Ethiopia,Google Play,126,19,Very Poor,Negative,2024,12,0.3804,0.126,0.874,0.0,Positive,0.012500000000000002,0.39166666666666666,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Standard banking app with room for improvement in user experience. Hope they continue to improve.,3,2025-01-21,Commercial Bank of Ethiopia,Google Play,97,15,Average,Neutral,2025,1,0.8316,0.423,0.577,0.0,Positive,0.0,0.0,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Unable to check account balance. App is unreliable and buggy. Overall satisfied with the service.,1,2024-05-18,Commercial Bank of Ethiopia,Google Play,97,15,Very Poor,Negative,2024,5,0.4215,0.167,0.833,0.0,Positive,0.0,0.5,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Worst banking app experience! Constantly freezes and crashes. Hope they continue to improve.,1,2023-12-19,Commercial Bank of Ethiopia,Google Play,92,13,Very Poor,Negative,2023,12,0.2244,0.3,0.444,0.256,Positive,-0.5,0.6666666666666666,Negative,0.0,0.0,Neutral,0.0,Positive,0.3333333333333333
Best banking app I ve used. Transaction history is very clear and detailed. Been using this app for months now. Still my opinion.,4,2024-06-29,Commercial Bank of Ethiopia,Google Play,129,23,Good,Positive,2024,6,0.796,0.252,0.748,0.0,Positive,0.5099999999999999,0.5161111111111111,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
The app is stable and reliable. Never had any technical issues. Been using this app for months now.,4,2023-12-04,Commercial Bank of Ethiopia,Google Play,99,18,Good,Positive,2023,12,0.296,0.115,0.885,0.0,Positive,0.0,0.1,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Very convenient for paying bills and checking account balance anytime. Update Still having the same experience.,4,2025-01-27,Commercial Bank of Ethiopia,Google Play,111,16,Good,Positive,2025,1,0.0,0.0,1.0,0.0,Neutral,0.1,0.2125,Neutral,0.0,0.0,Neutral,0.0,Neutral,1.0
Best banking app I ve used. Transaction history is very clear and detailed. Hope they continue to improve.,4,2025-02-03,Commercial Bank of Ethiopia,Google Play,106,18,Good,Positive,2025,2,0.9168,0.479,0.521,0.0,Positive,0.5099999999999999,0.5161111111111111,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Quick and secure payments. The app works perfectly on my phone. Overall satisfied with the service.,5,2023-08-17,Commercial Bank of Ethiopia,Google Play,99,16,Excellent,Positive,2023,8,0.8555,0.42,0.58,0.0,Positive,0.44666666666666666,0.62,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"Amazing app! Makes mobile banking incredibly easy and secure. Comparing to other banks, this is my experience.",4,2023-10-27,Commercial Bank of Ethiopia,Google Play,110,17,Good,Positive,2023,10,0.8735,0.415,0.585,0.0,Positive,0.36458333333333337,0.6770833333333334,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Average mobile banking experience. Some features work better than others. Still my opinion.,3,2024-03-03,Commercial Bank of Ethiopia,Google Play,91,13,Average,Neutral,2024,3,0.4404,0.195,0.805,0.0,Positive,0.175,0.44999999999999996,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Update Love the new features. Makes banking so much easier than going to the branch.,4,2024-10-12,Commercial Bank of Ethiopia,Google Play,84,15,Good,Positive,2024,10,0.8062,0.359,0.641,0.0,Positive,0.2787878787878788,0.41818181818181815,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"Smooth and efficient. Customer support is very responsive. Comparing to other banks, this is my experience.",4,2023-06-12,Commercial Bank of Ethiopia,Google Play,107,16,Good,Positive,2023,6,0.807,0.389,0.611,0.0,Positive,0.15833333333333335,0.39166666666666666,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"Outdated interface and confusing navigation. Needs complete redesign. Comparing to other banks, this is my experience.",1,2023-08-12,Commercial Bank of Ethiopia,Google Play,118,16,Very Poor,Negative,2023,8,-0.2263,0.0,0.888,0.112,Negative,-0.18125000000000002,0.4520833333333334,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
Best banking app I ve used. Transaction history is very clear and detailed. Still my opinion.,4,2024-12-31,Commercial Bank of Ethiopia,Google Play,93,16,Good,Positive,2024,12,0.796,0.336,0.664,0.0,Positive,0.5099999999999999,0.5161111111111111,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Outdated interface and confusing navigation. Needs complete redesign. Posting again to emphasize.,1,2024-10-23,Commercial Bank of Ethiopia,Google Play,97,12,Very Poor,Negative,2024,10,-0.2263,0.0,0.853,0.147,Negative,-0.20000000000000004,0.47777777777777786,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
Great user experience! The design is modern and intuitive. Hope they continue to improve.,5,2024-11-21,Commercial Bank of Ethiopia,Google Play,89,14,Excellent,Positive,2024,11,0.8805,0.481,0.519,0.0,Positive,0.6,0.525,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Standard banking app with room for improvement in user experience. Been using this app for months now.,3,2025-02-22,Commercial Bank of Ethiopia,Google Play,102,17,Average,Neutral,2025,2,0.4588,0.158,0.842,0.0,Positive,0.0,0.0,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
"Smooth and efficient. Customer support is very responsive. Comparing to other banks, this is my experience. Still my opinion.",4,2024-10-17,Commercial Bank of Ethiopia,Google Play,125,19,Good,Positive,2024,10,0.807,0.341,0.659,0.0,Positive,0.15833333333333335,0.39166666666666666,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Decent banking app with basic features. Nothing special but gets the job done. Update Still having the same experience.,3,2023-10-04,Commercial Bank of Ethiopia,Google Play,119,19,Average,Neutral,2023,10,-0.1603,0.0,0.917,0.083,Negative,0.13095238095238096,0.37202380952380953,Positive,0.0,0.0,Neutral,0.0,Negative,0.3333333333333333
"Mixed experience - some features are good while others need work. Comparing to other banks, this is my experience.",3,2025-06-03,Commercial Bank of Ethiopia,Google Play,114,19,Average,Neutral,2025,6,0.4404,0.139,0.861,0.0,Positive,0.19166666666666665,0.4083333333333334,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Regular banking app - works fine for checking balance and simple transfers. Been using this app for months now.,3,2023-10-16,Bank of Abyssinia,Google Play,111,19,Average,Neutral,2023,10,0.2023,0.091,0.909,0.0,Positive,0.1388888888888889,0.31135531135531136,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
App works fine but could use some improvements in the user interface.,3,2024-03-24,Bank of Abyssinia,Google Play,69,12,Average,Neutral,2024,3,0.5187,0.303,0.697,0.0,Positive,0.4166666666666667,0.5,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Quick and secure payments. The app works perfectly on my phone.,4,2023-07-08,Bank of Abyssinia,Google Play,63,11,Good,Positive,2023,7,0.765,0.423,0.577,0.0,Positive,0.5777777777777778,0.7000000000000001,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Great user experience! The design is modern and intuitive.,4,2024-04-16,Bank of Abyssinia,Google Play,58,9,Good,Positive,2024,4,0.6588,0.354,0.646,0.0,Positive,0.6,0.525,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Very slow loading times. Takes forever to complete simple transactions.,1,2024-06-12,Bank of Abyssinia,Google Play,71,10,Very Poor,Negative,2024,6,0.0,0.0,1.0,0.0,Neutral,-0.09666666666666668,0.4257142857142857,Neutral,0.0,0.0,Neutral,0.0,Neutral,1.0
Fast money transfer feature is amazing. No more long queues at the bank!,5,2024-04-03,Bank of Abyssinia,Google Play,72,13,Excellent,Positive,2024,4,0.4389,0.237,0.636,0.127,Positive,0.12187500000000001,0.6,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
App works fine but could use some improvements in the user interface. Still my opinion.,3,2025-03-31,Bank of Abyssinia,Google Play,87,15,Average,Neutral,2025,3,0.5187,0.251,0.749,0.0,Positive,0.4166666666666667,0.5,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"Perfect for daily banking needs. All features work as expected. Comparing to other banks, this is my experience.",4,2023-11-20,Bank of Abyssinia,Google Play,112,18,Good,Positive,2023,11,0.5719,0.179,0.821,0.0,Positive,0.19375,0.44375,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"Bill payment feature never works properly. Always shows server errors. Comparing to other banks, this is my experience.",2,2025-03-26,Bank of Abyssinia,Google Play,119,18,Poor,Negative,2025,3,-0.34,0.0,0.876,0.124,Negative,-0.0625,0.2375,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
App keeps crashing when I try to make payments. Very frustrating! Been using this app for months now.,1,2025-02-14,Bank of Abyssinia,Google Play,101,18,Very Poor,Negative,2025,2,-0.54,0.0,0.83,0.17,Negative,-0.65,1.0,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
Security concerns - app doesn t feel safe for financial transactions.,1,2023-06-16,Bank of Abyssinia,Google Play,69,11,Very Poor,Negative,2023,6,0.6486,0.371,0.629,0.0,Positive,0.25,0.25,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"Poor customer service. No response to my complaints about app errors. Comparing to other banks, this is my experience.",1,2023-08-12,Bank of Abyssinia,Google Play,118,19,Very Poor,Negative,2023,8,-0.8555,0.0,0.591,0.409,Negative,-0.2625,0.4875,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
Smooth and efficient. Customer support is very responsive.,5,2024-11-03,Bank of Abyssinia,Google Play,58,8,Excellent,Positive,2024,11,0.807,0.624,0.376,0.0,Positive,0.30000000000000004,0.4,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Love the new features. Makes banking so much easier than going to the branch.,3,2023-07-20,Bank of Abyssinia,Google Play,77,14,Average,Neutral,2023,7,0.8062,0.378,0.622,0.0,Positive,0.2787878787878788,0.41818181818181815,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Standard banking app with room for improvement in user experience.,3,2025-04-18,Bank of Abyssinia,Google Play,66,10,Average,Neutral,2025,4,0.4588,0.25,0.75,0.0,Positive,0.0,0.0,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Amazing app! Makes mobile banking incredibly easy and secure. Been using this app for months now.,5,2023-10-11,Bank of Abyssinia,Google Play,97,16,Excellent,Positive,2023,10,0.8735,0.434,0.566,0.0,Positive,0.5277777777777778,0.7777777777777778,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Unable to check account balance. App is unreliable and buggy.,2,2025-03-26,Bank of Abyssinia,Google Play,61,10,Poor,Negative,2025,3,0.0,0.0,1.0,0.0,Neutral,-0.5,0.5,Negative,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Best banking app I ve used. Transaction history is very clear and detailed.,3,2024-12-30,Bank of Abyssinia,Google Play,75,13,Average,Neutral,2024,12,0.796,0.392,0.608,0.0,Positive,0.5099999999999999,0.5161111111111111,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Mixed experience - some features are good while others need work.,3,2024-03-30,Bank of Abyssinia,Google Play,65,11,Average,Neutral,2024,3,0.4404,0.225,0.775,0.0,Positive,0.35,0.42500000000000004,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Amazing app! Makes mobile banking incredibly easy and secure.,4,2024-11-07,Bank of Abyssinia,Google Play,61,9,Good,Positive,2024,11,0.8735,0.624,0.376,0.0,Positive,0.5277777777777778,0.7777777777777778,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Ordinary mobile banking experience. Nothing outstanding but functional.,3,2025-02-03,Bank of Abyssinia,Google Play,71,8,Average,Neutral,2025,2,-0.2755,0.0,0.768,0.232,Negative,0.125,0.6875,Positive,0.0,0.0,Neutral,0.0,Negative,0.3333333333333333
"Quick and secure payments. The app works perfectly on my phone. Comparing to other banks, this is my experience.",4,2023-08-05,Bank of Abyssinia,Google Play,112,19,Good,Positive,2023,8,0.765,0.28,0.72,0.0,Positive,0.40208333333333335,0.61875,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Great user experience! The design is modern and intuitive. Hope they continue to improve.,5,2023-11-06,Bank of Abyssinia,Google Play,89,14,Excellent,Positive,2023,11,0.8805,0.481,0.519,0.0,Positive,0.6,0.525,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
App works fine but could use some improvements in the user interface. Update Still having the same experience.,3,2023-10-06,Bank of Abyssinia,Google Play,110,18,Average,Neutral,2023,10,0.5187,0.214,0.786,0.0,Positive,0.20833333333333334,0.3125,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Acceptable app performance though it could be faster and more responsive.,3,2025-01-15,Bank of Abyssinia,Google Play,73,11,Average,Neutral,2025,1,0.624,0.361,0.639,0.0,Positive,0.5,0.5,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Cannot transfer money - app shows error messages constantly. Update Still having the same experience.,2,2024-03-13,Bank of Abyssinia,Google Play,101,15,Poor,Negative,2024,3,-0.4019,0.0,0.838,0.162,Negative,0.0,0.22916666666666666,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
App keeps crashing when I try to make payments. Very frustrating!,1,2023-08-27,Bank of Abyssinia,Google Play,65,11,Very Poor,Negative,2023,8,-0.54,0.0,0.742,0.258,Negative,-0.65,1.0,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
Very convenient for paying bills and checking account balance anytime.,5,2024-04-22,Bank of Abyssinia,Google Play,70,10,Excellent,Positive,2024,4,0.0,0.0,1.0,0.0,Neutral,0.2,0.3,Positive,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Outdated interface and confusing navigation. Needs complete redesign.,1,2023-09-13,Bank of Abyssinia,Google Play,69,8,Very Poor,Negative,2023,9,-0.2263,0.0,0.787,0.213,Negative,-0.20000000000000004,0.47777777777777786,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
Excellent mobile banking app! Very user-friendly interface and fast transactions.,3,2025-03-28,Bank of Abyssinia,Google Play,81,10,Average,Neutral,2025,3,0.6114,0.307,0.693,0.0,Positive,0.4666666666666666,0.6333333333333333,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Regular banking app - works fine for checking balance and simple transfers.,3,2023-11-11,Bank of Abyssinia,Google Play,75,12,Average,Neutral,2023,11,0.2023,0.141,0.859,0.0,Positive,0.1388888888888889,0.31135531135531136,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"Smooth and efficient. Customer support is very responsive. Comparing to other banks, this is my experience.",4,2024-12-02,Bank of Abyssinia,Google Play,107,16,Good,Positive,2024,12,0.807,0.389,0.611,0.0,Positive,0.15833333333333335,0.39166666666666666,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Smooth and efficient. Customer support is very responsive. Hope they continue to improve. Posting again to emphasize.,5,2023-07-04,Bank of Abyssinia,Google Play,117,17,Excellent,Positive,2023,7,0.9242,0.545,0.455,0.0,Positive,0.30000000000000004,0.4,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Amazing app! Makes mobile banking incredibly easy and secure. Update Still having the same experience.,4,2025-04-20,Bank of Abyssinia,Google Play,102,15,Good,Positive,2025,4,0.8735,0.453,0.547,0.0,Positive,0.39583333333333337,0.6145833333333334,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Smooth and efficient. Customer support is very responsive. Hope they continue to improve. Still my opinion.,4,2023-11-03,Bank of Abyssinia,Google Play,107,16,Good,Positive,2023,11,0.9242,0.566,0.434,0.0,Positive,0.30000000000000004,0.4,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Mixed experience - some features are good while others need work. Overall satisfied with the service.,3,2024-01-02,Bank of Abyssinia,Google Play,101,16,Average,Neutral,2024,1,0.6908,0.289,0.711,0.0,Positive,0.3,0.4625,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Update Regular banking app - works fine for checking balance and simple transfers.,3,2025-03-12,Bank of Abyssinia,Google Play,82,13,Average,Neutral,2025,3,0.2023,0.13,0.87,0.0,Positive,0.1388888888888889,0.31135531135531136,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Great user experience! The design is modern and intuitive. Overall satisfied with the service.,4,2023-11-18,Bank of Abyssinia,Google Play,94,14,Good,Positive,2023,11,0.8016,0.375,0.625,0.0,Positive,0.425,0.5125,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Great user experience! The design is modern and intuitive. Been using this app for months now.,4,2023-10-12,Bank of Abyssinia,Google Play,94,16,Good,Positive,2023,10,0.6588,0.226,0.774,0.0,Positive,0.6,0.525,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
The app is stable and reliable. Never had any technical issues.,4,2023-08-20,Bank of Abyssinia,Google Play,63,11,Good,Positive,2023,8,0.296,0.18,0.82,0.0,Positive,0.0,0.1,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Fast money transfer feature is amazing. No more long queues at the bank! Overall satisfied with the service.,4,2023-09-14,Bank of Abyssinia,Google Play,108,18,Good,Positive,2023,9,0.69,0.286,0.623,0.091,Positive,0.16458333333333333,0.5666666666666667,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
"Amazing app! Makes mobile banking incredibly easy and secure. Comparing to other banks, this is my experience.",4,2023-10-31,Bank of Abyssinia,Google Play,110,17,Good,Positive,2023,10,0.8735,0.415,0.585,0.0,Positive,0.36458333333333337,0.6770833333333334,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Terrible user experience. The app is slow and unresponsive.,2,2025-05-29,Bank of Abyssinia,Google Play,59,9,Poor,Negative,2025,5,-0.4767,0.0,0.721,0.279,Negative,-0.65,0.7,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
The app is okay for simple transactions but lacks advanced features.,3,2024-05-22,Bank of Abyssinia,Google Play,68,11,Average,Neutral,2024,5,0.4497,0.305,0.695,0.0,Positive,0.3,0.48571428571428577,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Amazing app! Makes mobile banking incredibly easy and secure. Hope they continue to improve.,4,2024-02-24,Bank of Abyssinia,Google Play,92,14,Good,Positive,2024,2,0.9408,0.636,0.364,0.0,Positive,0.5277777777777778,0.7777777777777778,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Bill payment feature never works properly. Always shows server errors.,1,2023-11-21,Bank of Abyssinia,Google Play,70,10,Very Poor,Negative,2023,11,-0.34,0.0,0.789,0.211,Negative,0.0,0.1,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Very slow loading times. Takes forever to complete simple transactions. Posting again to emphasize.,2,2024-10-26,Bank of Abyssinia,Google Play,99,14,Poor,Negative,2024,10,0.0,0.0,1.0,0.0,Neutral,-0.09666666666666668,0.4257142857142857,Neutral,0.0,0.0,Neutral,0.0,Neutral,1.0
"Decent banking app with basic features. Nothing special but gets the job done. Comparing to other banks, this is my experience.",3,2024-09-29,Bank of Abyssinia,Google Play,127,21,Average,Neutral,2024,9,-0.1603,0.0,0.925,0.075,Negative,0.09970238095238096,0.43452380952380953,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Love the new features. Makes banking so much easier than going to the branch. Been using this app for months now.,4,2025-02-03,Bank of Abyssinia,Google Play,113,21,Good,Positive,2025,2,0.8062,0.277,0.723,0.0,Positive,0.2787878787878788,0.41818181818181815,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Fast money transfer feature is amazing. No more long queues at the bank! Still my opinion.,4,2023-08-14,Bank of Abyssinia,Google Play,90,16,Good,Positive,2023,8,0.4389,0.202,0.69,0.108,Positive,0.12187500000000001,0.6,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Functional but not exceptional. Meets basic banking needs adequately.,3,2023-07-18,Bank of Abyssinia,Google Play,69,9,Average,Neutral,2023,7,0.0,0.0,1.0,0.0,Neutral,0.0,0.4861111111111111,Neutral,0.0,0.0,Neutral,0.0,Neutral,1.0
"Functional but not exceptional. Meets basic banking needs adequately. Comparing to other banks, this is my experience.",3,2024-08-10,Bank of Abyssinia,Google Play,118,17,Average,Neutral,2024,8,0.0,0.0,1.0,0.0,Neutral,-0.03125,0.4583333333333333,Neutral,0.0,0.0,Neutral,0.0,Neutral,1.0
Bill payment feature never works properly. Always shows server errors. Update Still having the same experience.,2,2024-11-05,Bank of Abyssinia,Google Play,111,16,Poor,Negative,2024,11,-0.34,0.0,0.862,0.138,Negative,0.0,0.1125,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Poor customer service. No response to my complaints about app errors.,1,2023-09-09,Bank of Abyssinia,Google Play,69,11,Very Poor,Negative,2023,9,-0.8555,0.0,0.402,0.598,Negative,-0.4,0.6,Negative,0.0,0.0,Neutral,0.0,Negative,0.6666666666666666
Very convenient for paying bills and checking account balance anytime. Hope they continue to improve.,5,2024-03-08,Bank of Abyssinia,Google Play,101,15,Excellent,Positive,2024,3,0.7003,0.309,0.691,0.0,Positive,0.2,0.3,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Acceptable app performance though it could be faster and more responsive. Hope they continue to improve.,3,2025-01-20,Bank of Abyssinia,Google Play,104,16,Average,Neutral,2025,1,0.8799,0.482,0.518,0.0,Positive,0.5,0.5,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Perfect for daily banking needs. All features work as expected.,4,2024-06-01,Bank of Abyssinia,Google Play,63,10,Good,Positive,2024,6,0.5719,0.291,0.709,0.0,Positive,0.3,0.4666666666666666,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Outstanding customer service through the app. Highly recommended!,5,2024-05-06,Bank of Abyssinia,Google Play,65,8,Excellent,Positive,2024,5,0.7495,0.516,0.484,0.0,Positive,0.35,0.7075,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Cannot transfer money - app shows error messages constantly. Been using this app for months now.,1,2024-04-15,Bank of Abyssinia,Google Play,96,16,Very Poor,Negative,2024,4,-0.4019,0.0,0.847,0.153,Negative,0.0,0.3333333333333333,Neutral,0.0,0.0,Neutral,0.0,Neutral,0.6666666666666666
Decent banking app with basic features. Nothing special but gets the job done. Been using this app for months now.,3,2024-08-05,Bank of Abyssinia,Google Play,114,20,Average,Neutral,2024,8,-0.1603,0.0,0.921,0.079,Negative,0.17460317460317462,0.45436507936507936,Positive,0.0,0.0,Neutral,0.0,Negative,0.3333333333333333
Decent banking app with basic features. Nothing special but gets the job done. Hope they continue to improve.,3,2024-08-14,Bank of Abyssinia,Google Play,109,18,Average,Neutral,2024,8,0.7947,0.316,0.617,0.067,Positive,0.17460317460317462,0.45436507936507936,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Perfect for daily banking needs. All features work as expected. Overall satisfied with the service.,5,2024-06-09,Bank of Abyssinia,Google Play,99,15,Excellent,Positive,2024,6,0.7579,0.333,0.667,0.0,Positive,0.27999999999999997,0.48,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Login issues persist for weeks. Cannot access my account properly. Update Still having the same experience.,2,2025-04-29,Bank of Abyssinia,Google Play,107,16,Poor,Negative,2025,4,0.0,0.0,1.0,0.0,Neutral,0.0,0.1125,Neutral,0.0,0.0,Neutral,0.0,Neutral,1.0
Login issues persist for weeks. Cannot access my account properly.,2,2024-05-18,Bank of Abyssinia,Google Play,66,10,Poor,Negative,2024,5,0.0,0.0,1.0,0.0,Neutral,0.0,0.1,Neutral,0.0,0.0,Neutral,0.0,Neutral,1.0
Average mobile banking experience. Some features work better than others.,3,2024-01-28,Bank of Abyssinia,Google Play,73,10,Average,Neutral,2024,1,0.4404,0.244,0.756,0.0,Positive,0.175,0.44999999999999996,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
Fast money transfer feature is amazing. No more long queues at the bank! Hope they continue to improve.,5,2023-08-30,Bank of Abyssinia,Google Play,103,18,Excellent,Positive,2023,8,0.8268,0.379,0.537,0.084,Positive,0.12187500000000001,0.6,Positive,0.0,0.0,Neutral,0.0,Positive,0.6666666666666666
